customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
9409-FFVEV,2023-12-23,Refferal,2024-12-22,Premium,Annual,,,69.34,4437,53,0,chaman,India,Meghalaya,Female,1998-08-10 11:31:26,,,,
9324-AOSMA,2021-05-28,Organic,2022-05-28,Premium,Annual,,,25.48,2267,28,0,yashawini,India,Karnataka,Female,1997-02-11 11:31:26,,,,
0176-MEYXB,2021-01-25,Refferal,2021-02-24,Premium,Monthly,,,73.11,5848,32,0,shravya,India,Delhi,Female,1987-04-10 11:31:26,2025-10-10,Y,37.0,1.0
9887-GUJGN,2024-06-12,Refferal,2025-06-12,Standard,Annual,2026-06-03,Not enough content,16.5,495,70,1,teerth,India,Karnataka,Male,1989-03-03 11:31:26,,,,
1335-HXTDO,2021-12-31,Organic,2022-12-31,Basic,Annual,,,7.81,601,47,0,eiravati,India,Rajasthan,Female,1999-12-12 11:31:26,2025-02-27,N,78.0,1.0
9390-HDXSA,2025-12-17,Paid,2026-01-16,Standard,Monthly,,,14.33,1060,58,0,nisha,India,Nagaland,Female,2006-07-03 11:31:26,,,,
0993-AHIYR,2024-08-31,Refferal,2024-09-30,Standard,Monthly,,,12.05,867,24,0,shravya,India,Uttar Pradesh,Female,1977-08-09 11:31:26,,,,
8189-XGWDA,2022-06-19,Refferal,2023-06-19,Standard,Annual,2025-03-20,Switched to competitor,11.11,811,89,1,omisha,India,Maharashtra,Female,1996-01-20 11:31:26,,,,
9562-XJPXU,2021-12-24,Refferal,2022-12-24,Premium,Annual,,,49.36,3603,12,0,laban,India,Karnataka,Male,2008-05-16 11:31:26,2026-07-11,Y,26.0,1.0
0405-TPPGR,2025-02-13,Organic,2026-02-13,Basic,Annual,2025-07-13,Poor streaming quality,8.86,753,85,1,ekansh,India,Telangana,Male,1995-08-12 11:31:26,2025-10-22,N,78.0,2.0
3360-OXKJM,2023-03-23,Paid,2024-03-22,Standard,Annual,,,14.57,276,29,0,fitan,India,Uttar Pradesh,Male,1964-05-07 11:31:26,,,,
2751-HEFYG,2022-12-22,Refferal,2023-01-21,Basic,Monthly,,,9.78,430,46,0,naksh,India,Nagaland,Male,,,,,
6534-PRELW,2026-03-08,Refferal,2027-03-08,Premium,Annual,,,88.51,7611,24,0,praneel,India,Meghalaya,Male,2002-01-25 11:31:26,2025-01-19,N,65.0,1.0
9480-QTNAE,2023-04-21,Organic,2023-05-21,Basic,Monthly,,,7.45,514,38,0,nikita,India,Delhi,Female,1957-04-07 11:31:26,,,,
7317-OAEFP,2021-02-26,Paid,2021-03-28,Basic,Monthly,,,9.68,300,37,0,darpan,India,Karnataka,Male,1959-10-03 11:31:26,,,,
9271-NMXNF,2025-05-22,Refferal,2026-05-22,Basic,Annual,2025-06-10,Too expensive,8.3,323,94,1,nidra,India,Delhi,Female,2007-08-04 11:31:26,2026-01-12,Y,10.0,1.0
1287-SEMIC,2021-11-15,Paid,2021-12-15,Standard,Monthly,,,13.38,307,6,0,anusha,Nepal,Kathmandu,Female,1957-01-04 11:31:26,,,,
4408-KDMQA,2021-06-28,Refferal,2022-06-28,Premium,Annual,,,75.52,2945,15,0,nihal,India,Uttar Pradesh,Male,1972-01-05 11:31:26,2026-07-29,Y,27.0,2.0
8763-SABCG,2023-08-04,Paid,2024-08-03,Standard,Annual,,,14.8,414,39,0,rudra,India,Nagaland,Male,2000-03-27 11:31:26,2025-12-29,N,80.0,1.0
0453-QJOBW,2025-05-09,Refferal,2026-05-09,Standard,Annual,,,14.87,862,35,0,kalpit,India,Rajasthan,Male,1977-01-14 11:31:26,2026-07-17,N,57.0,2.0
3457-UQCPZ,2023-11-01,Paid,2024-10-31,Premium,Annual,,,35.86,2115,41,0,upkaar,Nepal,Kathmandu,Male,1966-08-14 11:31:26,2025-09-27,Y,12.0,2.0
3860-TQSLE,2025-04-05,Paid,2026-04-05,Premium,Annual,2026-07-26,Poor streaming quality,83.02,4483,77,1,charan,India,Meghalaya,Male,1987-06-04 11:31:26,,,,
0704-VPOTF,2021-05-03,Refferal,2021-06-02,Standard,Monthly,,,12.71,762,33,0,ekaraj,Nepal,Kathmandu,Male,1998-12-07 11:31:26,2024-10-05,Y,15.0,1.0
2267-DGDAK,2021-05-22,Refferal,2022-05-22,Standard,Annual,,,13.79,1006,14,0,janya,India,Karnataka,Female,1980-10-07 11:31:26,,,,
6488-IBMWK,2022-10-11,Refferal,2022-11-10,Standard,Monthly,,,14.15,764,13,0,suhani,India,Maharashtra,Female,2003-06-29 11:31:26,2025-11-24,Y,35.0,1.0
5292-QRXMM,2023-12-26,Refferal,2024-12-25,Standard,Annual,2024-02-22,Too expensive,15.36,506,89,1,chaman,Nepal,Kathmandu,Female,1958-06-21 11:31:26,,,,
9415-AZBHL,2025-11-29,Paid,2025-12-29,Standard,Monthly,2026-05-27,Too expensive,16.62,498,82,1,kai,India,Meghalaya,Male,1997-03-15 11:31:26,,,,
9808-DSBLY,2020-10-05,Refferal,2020-11-04,Standard,Monthly,,,12.26,465,53,0,bishakha,India,Nagaland,Female,1984-02-13 11:31:26,,,,
5681-EMSIF,2021-10-10,Refferal,2022-10-10,Basic,Annual,,,8.71,600,22,0,bhavini,India,Karnataka,Female,,2025-12-06,Y,25.0,1.0
0354-QOEVE,2021-03-02,Refferal,2022-03-02,Standard,Annual,,,15.24,1264,57,0,devansh,India,Rajasthan,Male,1992-07-20 11:31:26,,,,
9629-YGZBD,2021-05-05,Paid,2022-05-05,Premium,Annual,,,24.56,466,63,0,noah,India,Meghalaya,Male,1991-12-20 11:31:26,,,,
8468-BCGZZ,2020-12-05,Refferal,2021-12-05,Premium,Annual,,,53.27,2929,25,0,vedhika,India,Nagaland,Female,1984-07-03 11:31:26,,,,
1986-XKUEN,2025-05-12,Refferal,2026-05-12,Premium,Annual,,,58.22,4075,18,0,tarak,India,Telangana,Male,1995-04-26 11:31:26,2025-06-05,N,79.0,1.0
1198-IHBPR,2022-11-02,Paid,2022-12-02,Premium,Monthly,,,86.46,7781,5,0,amruta,India,Telangana,Female,1998-01-03 11:31:26,2025-06-28,Y,34.0,1.0
1573-WTPMN,2021-11-14,Paid,2021-12-14,Premium,Monthly,,,56.11,1458,36,0,peter,India,Nagaland,Male,1991-09-28 11:31:26,,,,
5787-YYBJA,2022-03-21,Refferal,2023-03-21,Premium,Annual,,,29.7,2524,10,0,idika,India,Telangana,Female,2004-10-19 11:31:26,,,,
4757-LQLJH,2025-09-19,Organic,2025-10-19,Basic,Monthly,,,8.33,391,25,0,vansha,India,Maharashtra,Female,1976-08-06 11:31:26,,,,
9954-OKXGM,2024-03-02,Organic,2025-03-02,Basic,Annual,,,6.33,373,45,0,anika,India,Telangana,Female,1994-03-05 11:31:26,,,,
5987-VFHYC,2024-05-11,Organic,2024-06-10,Standard,Monthly,2025-09-18,Poor streaming quality,12.98,986,95,1,jason,India,Uttar Pradesh,Male,,2025-08-20,Y,25.0,1.0
7881-CUVCH,2020-12-27,Paid,2021-12-27,Standard,Annual,,,11.34,215,35,0,wriddhish,India,Karnataka,Male,1961-11-07 11:31:26,,,,
0597-RPOFW,2022-11-03,Organic,2022-12-03,Standard,Monthly,2023-01-18,Forgot to cancel trial,14.15,353,79,1,logan,India,Uttar Pradesh,Male,1990-07-22 11:31:26,2025-06-23,N,64.0,1.0
8056-RSCZO,2024-04-06,Paid,2025-04-06,Premium,Annual,2025-07-28,Not enough content,77.87,5139,71,1,jeet,India,Meghalaya,Male,1991-06-14 11:31:26,2026-03-30,Y,17.0,1.0
4701-BJMWZ,2026-04-29,Paid,2026-05-29,Basic,Monthly,2026-07-05,Poor streaming quality,8.02,561,71,1,adya,India,Rajasthan,Female,1960-08-02 11:31:26,,,,
1880-WFDNH,2023-05-25,Paid,2023-06-24,Premium,Monthly,,,80.17,4088,22,0,rachita,India,Maharashtra,Female,1990-12-03 11:31:26,2026-03-15,Y,18.0,1.0
2444-GOKSG,2025-11-19,Organic,2025-12-19,Standard,Monthly,,,11.9,357,61,0,orinder,India,Meghalaya,Male,1976-12-29 11:31:26,2025-08-23,N,86.0,1.0
6278-CGYUW,2022-03-11,Paid,2022-04-10,Premium,Monthly,,,84.62,7192,45,0,sara,India,Karnataka,Female,1967-12-02 11:31:26,,,,
4742-BBGHF,2022-06-21,Paid,2022-07-21,Standard,Monthly,2025-01-13,Switched to competitor,16.23,1282,81,1,agastya,India,Karnataka,Male,1987-05-09 11:31:26,2025-01-28,Y,11.0,1.0
6330-LHVLF,2020-12-22,Paid,2021-12-22,Premium,Annual,2022-07-08,Switched to competitor,53.42,2297,76,1,meera,India,Rajasthan,Female,1991-08-26 11:31:26,,,,
7368-GQPXN,2023-09-06,Refferal,2024-09-05,Basic,Annual,2025-11-18,Switched to competitor,7.61,327,75,1,vrishti,India,Nagaland,Female,1977-03-17 11:31:26,2026-08-21,N,72.0,2.0
6497-GRAAN,2021-03-19,Refferal,2021-04-18,Standard,Monthly,,,13.63,722,59,0,gauri,India,Telangana,Female,1971-07-23 11:31:26,,,,
9566-VPNNM,2022-03-03,Organic,2022-04-02,Premium,Monthly,2024-11-26,Not enough content,89.22,7851,99,1,jai,India,Karnataka,Male,1961-06-28 11:31:26,2026-04-09,Y,39.0,1.0
8647-CYBCS,2025-01-11,Refferal,2025-02-10,Basic,Monthly,,,7.42,371,17,0,ayaan,India,Maharashtra,Male,1958-10-22 11:31:26,2026-07-14,N,86.0,1.0
5610-JEOCU,2022-09-05,Paid,2022-10-05,Premium,Monthly,,,31.5,1323,49,0,rishi,India,Nagaland,Male,1956-10-19 11:31:26,2026-04-26,N,80.0,1.0
7477-GZFOH,2021-08-25,Paid,2021-09-24,Standard,Monthly,,,14.15,650,56,0,harini,India,Meghalaya,Female,1970-05-06 11:31:26,,,,
7850-RKLCS,2025-04-10,Paid,2026-04-10,Standard,Annual,,,11.03,838,58,0,nitara,Nepal,Kathmandu,Female,1967-11-05 11:31:26,2026-01-12,N,57.0,1.0
1989-KIKVO,2024-09-06,Paid,2024-10-06,Standard,Monthly,,,12.77,778,34,0,akshay,India,Meghalaya,Male,1992-08-18 11:31:26,2025-10-09,Y,32.0,2.0
1622-SZKTZ,2023-11-16,Refferal,2023-12-16,Basic,Monthly,,,9.27,231,55,0,ekavir,India,Maharashtra,Male,1972-04-06 11:31:26,2025-01-05,Y,28.0,1.0
9205-GGUQN,2023-10-03,Organic,2023-11-02,Premium,Monthly,2026-01-24,Poor streaming quality,46.15,1430,76,1,yatin,India,Nagaland,Male,2006-07-28 11:31:26,,,,
3572-BGGDR,2023-06-16,Paid,2024-06-15,Premium,Annual,,,27.47,2334,11,0,harita,Nepal,Kathmandu,Female,1993-09-17 11:31:26,,,,
0343-KTNZV,2020-12-16,Paid,2021-12-16,Premium,Annual,,,49.76,4478,7,0,chandani,India,Nagaland,Female,1970-08-22 11:31:26,2025-11-03,Y,36.0,1.0
3691-URSTR,2023-08-31,Organic,2023-09-30,Standard,Monthly,,,14.49,811,57,0,aishani,Nepal,Kathmandu,Female,1992-10-12 11:31:26,,,,
3055-IXKGH,2022-07-18,Refferal,2023-07-18,Basic,Annual,,,6.45,277,5,0,aachal,India,Nagaland,Female,1995-03-12 11:31:26,2025-11-12,N,51.0,1.0
8186-MVIJR,2022-08-06,Refferal,2023-08-06,Premium,Annual,,,25.34,1241,64,0,eiravati,India,Telangana,Female,1971-08-29 11:31:26,2024-12-28,Y,23.0,1.0
6501-KADIH,2020-12-24,Paid,2021-01-23,Basic,Monthly,,,8.28,637,57,0,neel,India,Rajasthan,Male,2007-08-16 11:31:26,,,,
5673-BZVGL,2024-01-04,Paid,2024-02-03,Standard,Monthly,,,13.12,918,9,0,falak,India,Uttar Pradesh,Female,1991-10-24 11:31:26,2026-06-22,N,60.0,1.0
0501-UOJYA,2025-07-03,Organic,2025-08-02,Standard,Monthly,,,13.82,345,13,0,dayamai,Nepal,Kathmandu,Female,2006-10-20 11:31:26,,,,
3760-SZTHJ,2026-02-28,Paid,2026-03-30,Basic,Monthly,2026-08-18,Poor streaming quality,6.27,257,90,1,qabil,India,Maharashtra,Male,1996-12-26 11:31:26,2025-05-21,N,70.0,1.0
1497-RAYXA,2024-01-03,Refferal,2025-01-02,Premium,Annual,2024-02-26,Too expensive,92.69,7600,77,1,siya,India,Meghalaya,Female,1968-03-30 11:31:26,2025-04-24,N,59.0,2.0
5421-UOZTD,2024-11-05,Paid,2024-12-05,Premium,Monthly,2025-08-01,Too expensive,59.85,897,78,1,gaurangi,Nepal,Kathmandu,Female,1992-04-01 11:31:26,2025-12-01,N,66.0,2.0
0070-AOHTO,2024-05-15,Refferal,2025-05-15,Standard,Annual,,,11.77,647,55,0,widisha,India,Karnataka,Female,1983-07-17 11:31:26,2024-12-26,N,89.0,1.0
6810-CSFIE,2021-12-02,Paid,2022-01-01,Premium,Monthly,,,91.8,4131,25,0,rachana,India,Nagaland,Female,1968-08-19 11:31:26,,,,
0938-YWHZE,2022-10-24,Organic,2022-11-23,Standard,Monthly,,,15.1,1268,38,0,harita,India,Nagaland,Female,1960-11-17 11:31:26,,,,
6584-BCLNA,2021-05-15,Paid,2022-05-15,Standard,Annual,,,14.25,769,55,0,nandini,India,Rajasthan,Female,2004-07-24 11:31:26,,,,
2917-PXJSY,2026-02-03,Paid,2026-03-05,Standard,Monthly,,,13.97,391,46,0,aachal,India,Rajasthan,Female,1972-12-05 11:31:26,2026-07-15,N,85.0,1.0
5004-TMZLG,2025-07-12,Organic,2026-07-12,Premium,Annual,,,86.36,5095,45,0,shivani,India,Karnataka,Female,1956-09-26 11:31:26,,,,
2750-EUFSP,2021-09-07,Paid,2021-10-07,Premium,Monthly,2024-07-03,Not enough content,56.71,3629,98,1,amol,Nepal,Kathmandu,Male,1997-10-27 11:31:26,2025-04-10,Y,36.0,1.0
7850-PWPMQ,2024-04-25,Organic,2025-04-25,Premium,Annual,,,84.18,7239,58,0,indrajit,Nepal,Kathmandu,Male,1976-06-14 11:31:26,,,,
6497-NCUGG,2026-01-09,Paid,2026-02-08,Premium,Monthly,,,91.51,4850,53,0,charles,India,Nagaland,Male,,2024-12-01,N,66.0,1.0
5074-HWBKX,2022-01-02,Organic,2023-01-02,Basic,Annual,,,6.43,308,18,0,brinda,India,Telangana,Female,1987-06-29 11:31:26,2026-08-09,N,89.0,1.0
9301-TMPUZ,2024-04-17,Organic,2024-05-17,Premium,Monthly,,,46.37,1947,22,0,geetika,India,Uttar Pradesh,Female,1976-09-09 11:31:26,,,,
8008-VSBLR,2025-05-12,Paid,2026-05-12,Standard,Annual,,,14.75,944,40,0,chanchal,India,Uttar Pradesh,Female,1965-02-10 11:31:26,2025-12-23,N,82.0,1.0
0223-GEPPD,2023-03-16,Organic,2024-03-15,Basic,Annual,2025-02-05,Switched to competitor,7.25,369,89,1,oviya,India,Maharashtra,Female,1976-10-19 11:31:26,,,,
4300-PBDDG,2021-11-04,Paid,2022-11-04,Basic,Annual,2022-07-09,Poor streaming quality,9.64,453,72,1,libni,India,Rajasthan,Female,1978-06-28 11:31:26,2026-01-09,Y,39.0,2.0
1821-TCOYP,2024-10-11,Refferal,2024-11-10,Basic,Monthly,2026-08-04,Switched to competitor,9.62,586,82,1,darika,Nepal,Kathmandu,Female,,2024-09-25,N,65.0,1.0
4205-JIYPB,2024-11-06,Paid,2024-12-06,Basic,Monthly,,,6.86,267,39,0,theodore,Nepal,Kathmandu,Male,2001-07-08 11:31:26,,,,
1011-GVANS,2025-09-21,Refferal,2025-10-21,Premium,Monthly,,,29.22,1694,46,0,geetika,India,Telangana,Female,1969-06-08 11:31:26,2025-08-16,N,52.0,1.0
7573-ASYRE,2022-08-28,Organic,2022-09-27,Premium,Monthly,2024-01-11,Too expensive,72.6,6533,93,1,ranbir,India,Nagaland,Male,1959-08-30 11:31:26,,,,
1188-TEXUP,2021-03-21,Refferal,2021-04-20,Premium,Monthly,,,84.32,5986,50,0,raghav,India,Nagaland,Male,1964-04-25 11:31:26,2025-08-06,Y,19.0,1.0
5310-MOXUX,2021-07-28,Refferal,2021-08-27,Basic,Monthly,2023-03-31,Not enough content,7.68,522,92,1,isaiah,Nepal,Kathmandu,Male,2003-03-17 11:31:26,2024-10-13,N,67.0,1.0
0215-VKSAL,2022-05-02,Paid,2023-05-02,Premium,Annual,,,52.92,4392,19,0,anika,India,Delhi,Female,1979-10-01 11:31:26,2025-04-10,N,88.0,1.0
5211-MLWZC,2021-01-23,Organic,2022-01-23,Standard,Annual,,,15.77,378,48,0,damini,Nepal,Kathmandu,Female,1970-06-05 11:31:26,,,,
6187-GLAFM,2025-09-28,Paid,2026-09-28,Basic,Annual,,,7.6,668,56,0,frederick,India,Maharashtra,Male,1992-05-17 11:31:26,2024-12-16,N,83.0,1.0
2018-WTZDR,2023-10-13,Organic,2024-10-12,Premium,Annual,,,37.62,1128,33,0,baljiwan,India,Meghalaya,Male,1992-06-22 11:31:26,2026-06-08,N,75.0,1.0
1683-JBMCY,2022-07-31,Paid,2022-08-30,Premium,Monthly,,,29.36,616,23,0,chakradhar,India,Meghalaya,Male,1994-10-13 11:31:26,,,,
1500-AVYBM,2024-09-08,Refferal,2024-10-08,Premium,Monthly,2026-06-17,Too expensive,69.45,1319,72,1,wyatt,India,Rajasthan,Male,,2025-07-02,N,80.0,1.0
9880-MQRRW,2024-02-17,Paid,2024-03-18,Premium,Monthly,,,68.86,2478,6,0,fitan,India,Telangana,Male,1997-03-05 11:31:26,2025-07-04,Y,34.0,1.0
7222-HYUWC,2021-03-21,Paid,2021-04-20,Premium,Monthly,,,76.74,2225,50,0,avi,India,Uttar Pradesh,Male,1977-04-20 11:31:26,,,,
6172-TANIT,2026-03-29,Refferal,2026-04-28,Standard,Monthly,2026-07-08,Forgot to cancel trial,14.66,967,75,1,ishanvi,India,Maharashtra,Female,2003-06-04 11:31:26,2025-06-16,N,66.0,1.0
0439-OPLEJ,2024-06-08,Refferal,2024-07-08,Premium,Monthly,2025-12-22,Not enough content,45.89,3074,91,1,libni,India,Uttar Pradesh,Female,1966-06-28 11:31:26,2025-03-26,N,70.0,1.0
2718-BJODR,2020-12-03,Refferal,2021-12-03,Basic,Annual,,,7.05,549,45,0,chasmum,India,Nagaland,Female,,,,,
0141-IIOEO,2021-07-09,Paid,2021-08-08,Premium,Monthly,,,63.65,4073,3,0,xalak,India,Karnataka,Female,1969-04-30 11:31:26,2025-05-11,N,56.0,1.0
8972-XRZWC,2021-02-21,Organic,2021-03-23,Standard,Monthly,,,13.67,1079,36,0,tanay,India,Uttar Pradesh,Male,1960-12-09 11:31:26,,,,
7454-POLMH,2021-10-14,Paid,2022-10-14,Premium,Annual,,,69.88,1048,47,0,wakeeta,India,Uttar Pradesh,Female,1962-11-25 11:31:26,2024-09-08,Y,24.0,1.0
1048-ZPGXN,2024-04-22,Paid,2025-04-22,Basic,Annual,,,7.39,450,29,0,harinakshi,India,Meghalaya,Female,2004-01-21 11:31:26,,,,
6587-DDXWB,2023-05-12,Paid,2023-06-11,Standard,Monthly,2024-10-16,Switched to competitor,11.77,494,96,1,banjeet,Nepal,Kathmandu,Male,1979-04-29 11:31:26,2024-11-13,N,81.0,1.0
6780-QEHWJ,2023-05-06,Organic,2023-06-05,Premium,Monthly,2025-08-07,Poor streaming quality,54.61,1310,80,1,rushil,India,Karnataka,Male,1963-07-20 11:31:26,,,,
4895-JWIKG,2021-02-28,Refferal,2021-03-30,Standard,Monthly,,,16.62,1396,27,0,kevin,India,Meghalaya,Male,1959-04-07 11:31:26,2025-09-22,N,89.0,1.0
9655-XPTEN,2022-10-09,Refferal,2022-11-08,Premium,Monthly,,,79.08,5772,8,0,george,India,Meghalaya,Male,1959-12-01 11:31:26,,,,
2745-FEAWY,2022-10-05,Paid,2022-11-04,Standard,Monthly,,,13.82,248,49,0,sai,India,Delhi,Female,1999-10-19 11:31:26,2025-07-12,N,80.0,1.0
3710-VLCTK,2023-03-02,Paid,2024-03-01,Premium,Annual,2023-12-06,Poor streaming quality,43.65,3404,90,1,karan,India,Nagaland,Male,1987-10-25 11:31:26,,,,
0598-BIIJP,2021-12-09,Organic,2022-01-08,Standard,Monthly,2022-11-01,Not enough content,15.25,884,80,1,karan,India,Uttar Pradesh,Male,1968-01-16 11:31:26,2025-03-05,N,64.0,1.0
7370-XZQHC,2021-07-04,Paid,2021-08-03,Standard,Monthly,,,13.34,840,41,0,azaan,India,Karnataka,Male,1994-06-27 11:31:26,2026-01-12,Y,31.0,2.0
3739-FSQBR,2025-04-14,Refferal,2026-04-14,Premium,Annual,,,37.62,1880,64,0,pooja,India,Rajasthan,Female,,2025-06-19,N,51.0,1.0
9742-IBDSF,2023-10-27,Organic,2024-10-26,Standard,Annual,,,12.33,258,23,0,jhalak,Nepal,Kathmandu,Female,1978-05-03 11:31:26,,,,
8980-UBOAD,2025-05-05,Paid,2026-05-05,Premium,Annual,,,56.35,3550,26,0,sara,India,Meghalaya,Female,1974-06-05 11:31:26,,,,
6030-MXRHY,2026-03-10,Paid,2026-04-09,Premium,Monthly,,,60.23,3192,35,0,ubika,India,Rajasthan,Female,1958-12-19 11:31:26,2026-07-06,N,60.0,2.0
2146-TRJVB,2023-05-18,Paid,2023-06-17,Premium,Monthly,,,24.93,1296,48,0,kamya,India,Delhi,Female,1963-05-09 11:31:26,2024-10-17,N,52.0,1.0
2220-MKQGF,2023-07-11,Refferal,2024-07-10,Premium,Annual,,,24.86,1267,3,0,anay,India,Delhi,Male,1961-10-09 11:31:26,,,,
2832-PZLHV,2021-04-30,Organic,2022-04-30,Standard,Annual,,,13.86,249,21,0,ethan,India,Karnataka,Male,1964-08-18 11:31:26,,,,
7838-PGDXG,2021-08-19,Paid,2022-08-19,Basic,Annual,,,9.9,603,33,0,udarsh,India,Maharashtra,Male,1964-06-27 11:31:26,2026-08-10,N,89.0,1.0
2881-XLKEG,2025-04-14,Paid,2026-04-14,Basic,Annual,,,6.15,528,5,0,hitesh,India,Karnataka,Male,1971-07-12 11:31:26,2024-11-21,N,85.0,1.0
8655-SPRHJ,2021-02-01,Paid,2021-03-03,Basic,Monthly,2021-12-23,Too expensive,8.9,623,98,1,udyati,India,Karnataka,Female,1959-12-04 11:31:26,,,,
6532-MZZSS,2021-10-19,Refferal,2022-10-19,Premium,Annual,2022-01-03,Switched to competitor,75.19,3383,93,1,urishilla,India,Maharashtra,Female,1976-03-19 11:31:26,2026-04-14,N,65.0,1.0
4317-PLYBX,2025-06-07,Paid,2026-06-07,Premium,Annual,,,29.39,1204,10,0,falak,India,Maharashtra,Female,2001-03-06 11:31:26,2026-06-17,Y,37.0,2.0
0898-IXTZZ,2021-02-19,Refferal,2021-03-21,Premium,Monthly,,,39.06,2538,28,0,bhavna,Nepal,Kathmandu,Female,1975-02-23 11:31:26,,,,
4023-WDTFL,2023-10-24,Refferal,2024-10-23,Premium,Annual,2024-09-08,Too expensive,59.95,1079,95,1,sneha,India,Rajasthan,Female,1957-06-26 11:31:26,,,,
5531-XUHWO,2023-08-17,Refferal,2023-09-16,Premium,Monthly,,,84.69,2794,46,0,lakshit,India,Delhi,Male,1986-09-30 11:31:26,2026-06-22,N,72.0,2.0
1873-XYUZX,2021-04-14,Refferal,2022-04-14,Basic,Annual,,,9.35,776,4,0,shaurya,India,Nagaland,Male,2005-05-15 11:31:26,2024-12-08,N,78.0,1.0
5098-KXHLM,2025-12-15,Paid,2026-12-15,Basic,Annual,2026-03-06,Not enough content,8.29,663,79,1,daksha,India,Nagaland,Female,1964-08-11 11:31:26,2025-10-06,N,67.0,1.0
1302-JECIF,2025-02-26,Refferal,2025-03-28,Premium,Monthly,,,24.69,419,53,0,daksha,India,Telangana,Female,1967-04-19 11:31:26,2026-05-17,N,74.0,1.0
4230-EKZJT,2025-09-07,Organic,2026-09-07,Premium,Annual,,,65.38,5688,25,0,pooja,Nepal,Kathmandu,Female,1964-09-18 11:31:26,,,,
6946-AGACP,2022-11-03,Paid,2022-12-03,Basic,Monthly,,,8.74,620,50,0,libni,India,Delhi,Female,1970-02-16 11:31:26,,,,
3402-KNNRW,2023-12-05,Refferal,2024-12-04,Premium,Annual,2024-06-30,Poor streaming quality,86.01,4128,97,1,xavier,Nepal,Kathmandu,Male,1974-01-23 11:31:26,,,,
0315-GVQOE,2020-11-07,Paid,2021-11-07,Premium,Annual,,,83.71,5022,19,0,warjas,India,Uttar Pradesh,Male,1994-05-13 11:31:26,2025-03-10,N,71.0,1.0
1385-ZTMSZ,2024-03-11,Paid,2025-03-11,Premium,Annual,,,38.31,1953,47,0,ekbal,India,Rajasthan,Male,1957-05-20 11:31:26,,,,
9585-EIDKF,2020-11-10,Paid,2021-11-10,Standard,Annual,,,11.53,322,11,0,sai,India,Meghalaya,Male,2002-11-01 11:31:26,,,,
4650-QIKBT,2024-08-10,Paid,2025-08-10,Premium,Annual,,,84.71,2880,53,0,oni,India,Meghalaya,Female,1964-09-30 11:31:26,,,,
8877-FFENM,2024-12-04,Organic,2025-01-03,Premium,Monthly,,,65.78,1644,24,0,arya,India,Uttar Pradesh,Female,2006-06-17 11:31:26,,,,
2128-WSBNZ,2025-10-17,Paid,2026-10-17,Standard,Annual,,,16.59,414,64,0,krish,India,Meghalaya,Male,1956-11-13 11:31:26,2024-09-04,N,53.0,1.0
7495-JHTHX,2022-06-04,Organic,2022-07-04,Premium,Monthly,,,80.9,1779,33,0,nidra,India,Rajasthan,Female,1973-04-05 11:31:26,,,,
1982-QIEYE,2025-07-28,Paid,2026-07-28,Premium,Annual,2026-05-16,Poor streaming quality,67.93,4143,99,1,xalak,India,Maharashtra,Female,1971-05-08 11:31:26,,,,
3330-OFOZL,2026-03-25,Refferal,2026-04-24,Basic,Monthly,,,8.36,384,34,0,chavvi,India,Delhi,Female,1956-10-16 11:31:26,,,,
0995-NNTXS,2021-05-30,Paid,2022-05-30,Basic,Annual,2022-04-26,Poor streaming quality,8.05,619,93,1,ishaan,India,Nagaland,Male,2001-06-05 11:31:26,2026-08-03,N,61.0,1.0
5695-BMHWV,2025-02-01,Refferal,2026-02-01,Standard,Annual,,,16.98,1001,3,0,vaishnavi,India,Telangana,Female,1989-01-09 11:31:26,,,,
0661-FIDDE,2022-03-09,Paid,2023-03-09,Basic,Annual,2022-05-30,Poor streaming quality,7.47,358,94,1,naveen,Nepal,Kathmandu,Male,1967-11-26 11:31:26,,,,
6243-FCNDD,2024-02-12,Paid,2024-03-13,Basic,Monthly,,,6.24,255,28,0,sathvik,India,Rajasthan,Male,1987-06-04 11:31:26,,,,
6687-PFDLF,2021-09-19,Refferal,2022-09-19,Basic,Annual,,,9.41,357,24,0,chanchal,India,Rajasthan,Female,1970-12-25 11:31:26,,,,
3406-CGFMT,2025-11-21,Refferal,2026-11-21,Premium,Annual,,,38.02,1520,46,0,jagvi,India,Maharashtra,Female,1984-09-10 11:31:26,2025-06-14,N,82.0,1.0
4602-JQZDQ,2025-01-01,Paid,2025-01-31,Premium,Monthly,,,88.13,5992,39,0,xavier,India,Maharashtra,Male,1976-05-06 11:31:26,,,,
8853-AZQHV,2025-05-11,Paid,2026-05-11,Standard,Annual,,,12.73,916,15,0,rachit,India,Delhi,Male,2000-08-06 11:31:26,,,,
9871-LNQGZ,2021-01-05,Paid,2022-01-05,Basic,Annual,,,8.7,391,13,0,fariq,India,Maharashtra,Male,1997-09-01 11:31:26,2026-01-21,N,76.0,1.0
5944-URSDA,2021-06-01,Paid,2021-07-01,Standard,Monthly,,,12.78,881,18,0,tamanna,India,Telangana,Female,1959-12-28 11:31:26,2026-05-05,N,55.0,1.0
